datetime,contentID,username,person_count,age,gender,proximity,emotions,actions,gazes,audio_reactions,imageurl,audiourl,derived_emotions,attention
2021-12-19 08:31:05,c51fc7ba-3ea1-4085-a04c-b7962e11c0f9,wwagner,5,62,female,9,"[[0.1697925986, 'surprise'], [0.17968583870000002, 'sad'], [0.24571093, 'neutral'], [0.0715569479, 'happy'], [0.329408078, 'angry'], [0.0038456069, 'fear']]",jumping,looking_straight,scream,burch_leonard.com,sullivan-lang_ryan-brown.com,angry,1
2021-12-19 08:31:10,c51fc7ba-3ea1-4085-a04c-b7962e11c0f9,agreen,4,53,female,5,"[[0.3489263986, 'angry'], [0.12388027580000001, 'fear'], [0.2815750782, 'sad'], [0.1395779833, 'neutral'], [0.0239891765, 'happy'], [0.08205108750000001, 'surprise']]",jumping,looking_away,cheer,allen_parker.com,brown-king_vaughn.org,angry,0
2021-12-19 08:31:15,c51fc7ba-3ea1-4085-a04c-b7962e11c0f9,taylortyler,5,50,female,10,"[[0.2057087728, 'fear'], [0.20150210100000002, 'neutral'], [0.030920777000000003, 'surprise'], [0.0142938002, 'happy'], [0.4264787196, 'angry'], [0.12109582940000001, 'sad']]",walking,looking_straight,scream,ramos-vaughn_white.com,liu_warner.net,angry,1
2021-12-19 08:31:20,c51fc7ba-3ea1-4085-a04c-b7962e11c0f9,jessicaneal,4,67,male,9,"[[0.1366249676, 'neutral'], [0.3153506553, 'happy'], [0.0316308519, 'sad'], [0.2455607066, 'fear'], [0.0712771104, 'surprise'], [0.1995557083, 'angry']]",dancing,looking_away,scream,wilson_white-ward.com,bradley_bryant.biz,happy,0
2021-12-19 08:31:25,c51fc7ba-3ea1-4085-a04c-b7962e11c0f9,victoriawilliams,4,47,female,9,"[[0.0927930493, 'surprise'], [0.3314662693, 'sad'], [0.2063242095, 'happy'], [0.1495482054, 'neutral'], [0.19258659760000002, 'angry'], [0.027281668800000002, 'fear']]",talking,looking_away,cheer,price-gomez_tucker.com,smith_ortiz.com,sad,0
2021-12-19 08:31:30,c51fc7ba-3ea1-4085-a04c-b7962e11c0f9,michellerogers,1,70,male,10,"[[0.0109550927, 'happy'], [0.0889072092, 'surprise'], [0.1151560058, 'neutral'], [0.32328041300000004, 'sad'], [0.15993824950000002, 'angry'], [0.3017630298, 'fear']]",sitting,looking_away,cheer,stone_medina.com,ruiz_adkins-velazquez.com,sad,0
2021-12-19 08:31:35,c51fc7ba-3ea1-4085-a04c-b7962e11c0f9,martinezamanda,1,68,male,6,"[[0.1349381405, 'angry'], [0.1635187012, 'sad'], [0.1893096485, 'surprise'], [0.019866218300000002, 'happy'], [0.3623257737, 'fear'], [0.13004151790000001, 'neutral']]",walking,looking_away,LaughOutLoud,moore_wilson.info,terry_allen-rogers.com,fear,0
2021-12-19 08:31:40,c51fc7ba-3ea1-4085-a04c-b7962e11c0f9,bowenlarry,1,75,male,8,"[[0.0181810151, 'happy'], [0.5028220828000001, 'fear'], [0.2603807059, 'surprise'], [0.164283801, 'angry'], [0.038068026500000005, 'sad'], [0.0162643687, 'neutral']]",talking,looking_away,LaughOutLoud,myers_sellers.com,sanchez_lamb-perez.com,fear,0
2021-12-19 08:31:45,c51fc7ba-3ea1-4085-a04c-b7962e11c0f9,gonzalesmichael,3,67,male,10,"[[0.046521061600000004, 'sad'], [0.19629094560000002, 'fear'], [0.1308016082, 'surprise'], [0.4263192623, 'angry'], [0.0051266741, 'neutral'], [0.1949404483, 'happy']]",sitting,looking_straight,scream,taylor_lester.info,smith_harmon.com,angry,1
2021-12-19 08:31:50,c51fc7ba-3ea1-4085-a04c-b7962e11c0f9,thomascarl,1,74,female,10,"[[0.0980777052, 'sad'], [0.1534322973, 'neutral'], [0.1777052137, 'happy'], [0.1950063417, 'surprise'], [0.1608055636, 'angry'], [0.21497287850000002, 'fear']]",talking,looking_straight,scream,pruitt_herrera.com,mason_hernandez-taylor.com,fear,1
2021-12-19 08:31:55,c51fc7ba-3ea1-4085-a04c-b7962e11c0f9,phillipscheyenne,3,74,female,7,"[[0.4287660595, 'happy'], [0.0544787408, 'sad'], [0.0613464268, 'surprise'], [0.22248291320000002, 'angry'], [0.18327910090000002, 'neutral'], [0.049646758900000004, 'fear']]",sitting,looking_straight,scream,escobar-moreno_rivera.com,freeman_collins.info,happy,1
2021-12-19 08:32:00,c51fc7ba-3ea1-4085-a04c-b7962e11c0f9,turnermicheal,3,33,female,8,"[[0.2306793472, 'fear'], [0.1293712851, 'happy'], [0.0319049843, 'surprise'], [0.34609870870000004, 'sad'], [0.1014039045, 'neutral'], [0.16054177020000002, 'angry']]",jumping,looking_away,scream,valenzuela_chambers-wilson.com,williams_hancock.com,sad,0
2021-12-19 08:32:05,c51fc7ba-3ea1-4085-a04c-b7962e11c0f9,marcuswilliams,2,26,male,6,"[[0.6649281662000001, 'fear'], [0.0242775767, 'surprise'], [0.19940284600000002, 'neutral'], [0.02651521, 'happy'], [0.056947045, 'angry'], [0.0279291561, 'sad']]",dancing,looking_straight,LaughOutLoud,brown_brown.org,maldonado_montgomery.com,fear,1
2021-12-19 08:32:10,c51fc7ba-3ea1-4085-a04c-b7962e11c0f9,jbrock,5,53,male,5,"[[0.0016177772, 'surprise'], [0.205872414, 'sad'], [0.024370879800000002, 'fear'], [0.040872140200000004, 'neutral'], [0.29479452440000004, 'angry'], [0.4324722643, 'happy']]",dancing,looking_away,LaughOutLoud,meyers_jackson.com,cardenas_simpson.com,happy,0
2021-12-19 08:32:15,c51fc7ba-3ea1-4085-a04c-b7962e11c0f9,lisanewman,2,20,female,9,"[[0.4441513711, 'surprise'], [0.035997200800000004, 'angry'], [0.11997027310000001, 'happy'], [0.1817014767, 'sad'], [0.16873785560000001, 'neutral'], [0.0494418227, 'fear']]",talking,looking_away,cheer,hunter-king_walls.com,washington-jackson_rogers.com,surprise,0
2021-12-19 08:32:20,c51fc7ba-3ea1-4085-a04c-b7962e11c0f9,thomasfuller,2,41,male,8,"[[0.0295991503, 'angry'], [0.4080555429, 'sad'], [0.1045364451, 'surprise'], [0.12892585680000002, 'happy'], [0.1411438815, 'neutral'], [0.1877391235, 'fear']]",walking,looking_straight,scream,perez-jennings_martinez-jensen.com,franco-fields_reyes-palmer.com,sad,1
2021-12-19 08:32:25,c51fc7ba-3ea1-4085-a04c-b7962e11c0f9,terri38,3,61,female,10,"[[0.0097247888, 'fear'], [0.2722284969, 'happy'], [0.1186779793, 'surprise'], [0.28142985330000003, 'angry'], [0.24291034190000002, 'sad'], [0.07502853970000001, 'neutral']]",dancing,looking_away,cheer,mason-williams_bailey-watson.com,robinson_mathews-murphy.com,angry,0
2021-12-19 08:32:30,c51fc7ba-3ea1-4085-a04c-b7962e11c0f9,christianhunter,1,81,female,10,"[[0.10538920580000001, 'fear'], [0.14112306700000002, 'surprise'], [0.2694262067, 'angry'], [0.1337299322, 'neutral'], [0.2835129179, 'sad'], [0.0668186705, 'happy']]",dancing,looking_straight,cheer,snyder-delgado_esparza.net,brewer_mcintyre.com,sad,1
2021-12-19 08:32:35,c51fc7ba-3ea1-4085-a04c-b7962e11c0f9,flowersjessica,1,70,male,10,"[[0.0709538889, 'fear'], [0.022606858400000002, 'happy'], [0.2087142137, 'angry'], [0.6644847446000001, 'neutral'], [0.023257822100000002, 'sad'], [0.0099824723, 'surprise']]",sitting,looking_away,cheer,white_watson.com,lopez-jones_weaver.com,neutral,0
2021-12-19 08:32:40,97a2bcac-63e7-48d4-9dd8-b46e15890598,npowell,3,84,female,5,"[[0.3270527979, 'fear'], [0.0365040271, 'neutral'], [0.0357749142, 'happy'], [0.0001254751, 'sad'], [0.0357245272, 'angry'], [0.5648182584, 'surprise']]",talking,looking_straight,scream,king-hamilton_browning-le.info,knox-mason_bruce.com,surprise,1
2021-12-19 08:32:45,97a2bcac-63e7-48d4-9dd8-b46e15890598,sethjohnson,5,11,male,8,"[[0.4664872537, 'surprise'], [0.2439542884, 'fear'], [0.0543227547, 'sad'], [0.0871072372, 'angry'], [0.1382073128, 'neutral'], [0.009921153200000001, 'happy']]",jumping,looking_away,LaughOutLoud,wiley_morales-martin.com,reynolds-smith_lopez.info,surprise,0
2021-12-19 08:32:50,97a2bcac-63e7-48d4-9dd8-b46e15890598,brittanydoyle,3,74,female,10,"[[0.3532448093, 'happy'], [0.1269401761, 'sad'], [0.1488390554, 'fear'], [0.1083968975, 'angry'], [0.0419344843, 'surprise'], [0.2206445774, 'neutral']]",dancing,looking_straight,LaughOutLoud,wilson_cunningham.biz,foster_casey.com,happy,1
2021-12-19 08:32:55,97a2bcac-63e7-48d4-9dd8-b46e15890598,susanellis,2,14,male,9,"[[0.0818135905, 'surprise'], [0.0641578928, 'sad'], [0.1322855567, 'angry'], [0.15211576200000002, 'happy'], [0.1632510032, 'neutral'], [0.4063761947, 'fear']]",jumping,looking_away,LaughOutLoud,chen_goodman.com,taylor-pugh_smith.info,fear,0
2021-12-19 08:33:00,97a2bcac-63e7-48d4-9dd8-b46e15890598,olivia92,4,26,male,7,"[[0.028371885500000003, 'sad'], [0.1684764497, 'neutral'], [0.24313725100000003, 'happy'], [0.3690175358, 'fear'], [0.085094942, 'surprise'], [0.105901936, 'angry']]",dancing,looking_away,scream,adkins-wallace_gillespie.info,scott_green.net,fear,0
2021-12-19 08:33:05,97a2bcac-63e7-48d4-9dd8-b46e15890598,hdaniel,4,64,male,9,"[[0.0089453131, 'neutral'], [0.3303020029, 'surprise'], [0.08575431400000001, 'sad'], [0.0978993895, 'fear'], [0.3179437965, 'happy'], [0.159155184, 'angry']]",talking,looking_away,cheer,jones_jackson-williams.org,evans_molina.com,surprise,0
2021-12-19 08:33:10,97a2bcac-63e7-48d4-9dd8-b46e15890598,glassanthony,3,35,female,5,"[[0.0144905979, 'fear'], [0.08238344880000001, 'neutral'], [0.3603586445, 'sad'], [0.24621007150000002, 'happy'], [0.1000789341, 'surprise'], [0.1964783032, 'angry']]",talking,looking_straight,scream,palmer_hunter-church.info,johnson_dalton.com,sad,1
2021-12-19 08:33:15,97a2bcac-63e7-48d4-9dd8-b46e15890598,sarah69,2,26,male,8,"[[0.0026937859, 'fear'], [0.3707174549, 'sad'], [0.42199769130000003, 'angry'], [0.00235448, 'surprise'], [0.1784199138, 'happy'], [0.0238166741, 'neutral']]",talking,looking_away,LaughOutLoud,dyer_smith.com,farley_perez-cline.com,angry,0
2021-12-19 08:33:20,97a2bcac-63e7-48d4-9dd8-b46e15890598,danielletrujillo,2,78,male,8,"[[0.485382917, 'happy'], [0.1049124106, 'fear'], [0.0967074477, 'sad'], [0.15448624360000002, 'surprise'], [0.08239364090000001, 'neutral'], [0.0761173401, 'angry']]",jumping,looking_away,cheer,curry_frey.net,oneill_nelson-doyle.com,happy,0
2021-12-19 08:33:25,97a2bcac-63e7-48d4-9dd8-b46e15890598,careyjoseph,2,31,female,9,"[[0.20249415310000002, 'happy'], [0.0136762223, 'angry'], [0.00046410200000000004, 'fear'], [0.49590168980000005, 'sad'], [0.0651304934, 'neutral'], [0.22233333930000002, 'surprise']]",sitting,looking_away,scream,simmons_mccann-johnson.info,davis_hill.org,sad,0
2021-12-19 08:33:30,97a2bcac-63e7-48d4-9dd8-b46e15890598,imarshall,4,38,female,7,"[[0.0239199807, 'angry'], [0.0120879013, 'fear'], [0.0099185148, 'sad'], [0.7211488108, 'surprise'], [0.09181778700000001, 'neutral'], [0.1411070053, 'happy']]",jumping,looking_straight,LaughOutLoud,robinson_salas-thomas.biz,houston_hahn.com,surprise,1
2021-12-19 08:33:35,97a2bcac-63e7-48d4-9dd8-b46e15890598,william94,4,37,female,5,"[[0.0896995766, 'sad'], [0.21654721640000002, 'fear'], [0.4471879367, 'neutral'], [0.1073177486, 'surprise'], [0.0068882495000000005, 'happy'], [0.1323592721, 'angry']]",jumping,looking_straight,cheer,olson_wilson-kidd.com,adams_mcdaniel.org,neutral,1
2021-12-19 08:33:40,97a2bcac-63e7-48d4-9dd8-b46e15890598,elaine92,2,19,female,5,"[[0.1157397695, 'neutral'], [0.2385023704, 'fear'], [0.09772862680000001, 'sad'], [0.3094686705, 'angry'], [0.0378548744, 'surprise'], [0.2007056884, 'happy']]",dancing,looking_straight,cheer,elliott_rogers.org,olson_hubbard.info,angry,1
2021-12-19 08:33:45,97a2bcac-63e7-48d4-9dd8-b46e15890598,roger24,1,76,male,5,"[[0.0299250525, 'happy'], [0.13074536150000002, 'surprise'], [0.1233598793, 'sad'], [0.1007295758, 'fear'], [0.2574444388, 'neutral'], [0.3577956922, 'angry']]",dancing,looking_away,scream,rush_christensen-miller.info,fisher_wolfe.info,angry,0
2021-12-19 08:33:50,97a2bcac-63e7-48d4-9dd8-b46e15890598,iadams,1,36,male,9,"[[0.0948484404, 'sad'], [0.4291443371, 'surprise'], [0.3127760887, 'neutral'], [0.07185748260000001, 'happy'], [0.010697978, 'fear'], [0.0806756732, 'angry']]",talking,looking_away,LaughOutLoud,lee_howard-mitchell.net,molina_myers.com,surprise,0
2021-12-19 08:33:55,97a2bcac-63e7-48d4-9dd8-b46e15890598,iparsons,3,58,male,10,"[[0.5908892417, 'fear'], [0.030851537300000002, 'surprise'], [0.1820362317, 'angry'], [0.0023921486, 'neutral'], [0.16802974140000002, 'happy'], [0.0258010994, 'sad']]",jumping,looking_away,cheer,huerta-knight_ingram.com,gallagher-harrell_cisneros.info,fear,0
2021-12-19 08:34:00,97a2bcac-63e7-48d4-9dd8-b46e15890598,hartcaitlin,2,29,male,6,"[[0.0746576946, 'sad'], [0.036974350600000004, 'fear'], [0.0248251577, 'neutral'], [0.0744591325, 'happy'], [0.0479759019, 'angry'], [0.7411077627, 'surprise']]",sitting,looking_straight,scream,turner_gamble.com,powers_evans.com,surprise,1
2021-12-19 08:34:05,97a2bcac-63e7-48d4-9dd8-b46e15890598,angierandall,2,47,male,9,"[[0.0275602154, 'happy'], [0.0554562538, 'sad'], [0.3873154124, 'surprise'], [0.06609716610000001, 'fear'], [0.2548717636, 'neutral'], [0.2086991887, 'angry']]",walking,looking_away,cheer,garcia_ball-patrick.info,ortiz_herrera.com,surprise,0
2021-12-19 08:34:10,97a2bcac-63e7-48d4-9dd8-b46e15890598,robertobaker,3,77,male,9,"[[0.0595634694, 'happy'], [0.0395006628, 'sad'], [0.3533334233, 'angry'], [0.1124152232, 'fear'], [0.2863783307, 'neutral'], [0.1488088905, 'surprise']]",walking,looking_straight,LaughOutLoud,obrien-henderson_paul.com,porter_santiago.info,angry,1
2021-12-19 08:34:15,97a2bcac-63e7-48d4-9dd8-b46e15890598,cindymiller,2,23,male,10,"[[0.17357766200000002, 'fear'], [0.045764356000000006, 'surprise'], [0.09217940840000001, 'neutral'], [0.5318733114, 'sad'], [0.1155102611, 'happy'], [0.0410950011, 'angry']]",talking,looking_away,scream,mendoza-brown_johnson.net,chavez_lee-meyer.net,sad,0
2021-12-19 08:34:20,97a2bcac-63e7-48d4-9dd8-b46e15890598,ktaylor,4,56,male,7,"[[0.08632886690000001, 'neutral'], [0.1618831413, 'sad'], [0.2331503818, 'surprise'], [0.0725002508, 'happy'], [0.4177526083, 'angry'], [0.028384751000000003, 'fear']]",sitting,looking_straight,cheer,blake_king.org,gonzales_davis-singleton.info,angry,1
2021-12-19 08:34:25,97a2bcac-63e7-48d4-9dd8-b46e15890598,georgemason,4,21,male,7,"[[0.027121385300000002, 'fear'], [0.1401567069, 'neutral'], [0.1138681817, 'sad'], [0.6834445822, 'angry'], [0.0023347708, 'happy'], [0.0330743732, 'surprise']]",jumping,looking_straight,cheer,moran_wells-hodge.biz,mcdonald_allen-wells.net,angry,1
2021-12-19 08:34:30,97a2bcac-63e7-48d4-9dd8-b46e15890598,dhall,3,85,female,9,"[[0.0252412804, 'happy'], [0.012911130100000001, 'sad'], [0.4032131467, 'surprise'], [0.07707473370000001, 'angry'], [0.08985822560000001, 'neutral'], [0.3917014835, 'fear']]",sitting,looking_away,LaughOutLoud,garcia-brown_liu.org,padilla-diaz_lewis-johnson.biz,surprise,0
2021-12-19 08:34:35,97a2bcac-63e7-48d4-9dd8-b46e15890598,mariafuentes,4,10,female,10,"[[0.045766085500000005, 'sad'], [0.1678577001, 'surprise'], [0.0616695029, 'angry'], [0.37326636490000004, 'neutral'], [0.1838285031, 'happy'], [0.1676118435, 'fear']]",talking,looking_away,LaughOutLoud,barnes-griffith_webster.com,perez_griffin.com,neutral,0
2021-12-19 08:34:40,97a2bcac-63e7-48d4-9dd8-b46e15890598,denisemeyer,1,12,female,8,"[[0.175672917, 'sad'], [0.029180081400000002, 'neutral'], [0.11858487520000001, 'fear'], [0.030832137800000003, 'surprise'], [0.46197325300000003, 'happy'], [0.1837567357, 'angry']]",sitting,looking_away,cheer,foster_white.com,aguilar-jones_hernandez.com,happy,0
2021-12-19 08:34:45,97a2bcac-63e7-48d4-9dd8-b46e15890598,michele65,2,25,female,6,"[[0.1530676463, 'happy'], [0.1817164608, 'neutral'], [0.2807355439, 'surprise'], [0.16729958220000002, 'angry'], [0.2143823977, 'sad'], [0.0027983692000000003, 'fear']]",sitting,looking_away,LaughOutLoud,tucker_lee-smith.net,osborne-adams_campbell.org,surprise,0
2021-12-19 08:34:50,97a2bcac-63e7-48d4-9dd8-b46e15890598,natalie51,5,47,male,7,"[[0.0695702138, 'fear'], [0.1002559457, 'neutral'], [0.0326678952, 'angry'], [0.3177444041, 'surprise'], [0.0444072146, 'happy'], [0.4353543266, 'sad']]",dancing,looking_straight,scream,santos_rice.net,jones-palmer_bridges-olson.com,sad,1
2021-12-19 08:34:55,97a2bcac-63e7-48d4-9dd8-b46e15890598,xflores,1,37,female,7,"[[0.3089912361, 'happy'], [0.1326903509, 'neutral'], [0.2286529368, 'fear'], [0.311165277, 'angry'], [0.012629620000000001, 'surprise'], [0.0058705791, 'sad']]",jumping,looking_away,scream,smith-ware_carr-larson.com,young_thompson-burns.com,angry,0
2021-12-19 08:35:00,97a2bcac-63e7-48d4-9dd8-b46e15890598,wilkersonjames,4,60,male,6,"[[0.1367485702, 'sad'], [0.2882142418, 'surprise'], [0.33366167020000004, 'neutral'], [0.0011376860000000002, 'happy'], [0.0735200797, 'fear'], [0.1667177521, 'angry']]",sitting,looking_away,LaughOutLoud,armstrong-wallace_mcintyre-warren.org,parks_brown-rogers.com,neutral,0
2021-12-19 08:35:05,97a2bcac-63e7-48d4-9dd8-b46e15890598,murphysusan,5,86,female,5,"[[0.2679514112, 'angry'], [0.0588050683, 'sad'], [0.0759072356, 'neutral'], [0.2992174282, 'happy'], [0.0759010027, 'surprise'], [0.22221785400000002, 'fear']]",talking,looking_away,cheer,turner_arnold.com,miller_gilbert.info,happy,0
2021-12-19 08:35:10,f5e1caa8-01e0-4c81-bc2a-8616bd4615df,boothjennifer,3,41,female,5,"[[0.2633579511, 'happy'], [0.0271986061, 'neutral'], [0.0535956795, 'fear'], [0.0307484063, 'sad'], [0.6123056059, 'surprise'], [0.0127937511, 'angry']]",talking,looking_straight,cheer,valencia-robinson_castro-saunders.com,lee_warren-george.com,surprise,1
2021-12-19 08:35:15,f5e1caa8-01e0-4c81-bc2a-8616bd4615df,alyssa72,1,20,male,6,"[[0.0327323005, 'sad'], [0.41237742180000003, 'surprise'], [0.1324885696, 'happy'], [0.1313297484, 'neutral'], [0.2360182376, 'fear'], [0.055053722000000006, 'angry']]",walking,looking_away,cheer,leblanc_valdez.biz,wright-pope_becker-cohen.com,surprise,0
2021-12-19 08:35:20,f5e1caa8-01e0-4c81-bc2a-8616bd4615df,carol38,2,46,female,8,"[[0.0490207951, 'sad'], [0.0295280123, 'happy'], [0.0474869684, 'surprise'], [0.3001700788, 'fear'], [0.2062007066, 'angry'], [0.3675934389, 'neutral']]",dancing,looking_away,LaughOutLoud,harper-boone_bradley.com,young_dixon.com,neutral,0
2021-12-19 08:35:25,f5e1caa8-01e0-4c81-bc2a-8616bd4615df,krista33,5,87,female,6,"[[0.0266756624, 'surprise'], [0.3165038396, 'fear'], [0.2033870321, 'happy'], [0.0410921763, 'sad'], [0.0620693204, 'angry'], [0.3502719693, 'neutral']]",jumping,looking_away,scream,love-morris_morgan.biz,shea_rodriguez-fleming.org,neutral,0
2021-12-19 08:35:30,f5e1caa8-01e0-4c81-bc2a-8616bd4615df,spencerronald,1,13,female,10,"[[0.0142202931, 'surprise'], [0.3332251506, 'angry'], [0.45119428510000004, 'happy'], [0.0572842662, 'fear'], [0.09029276230000001, 'sad'], [0.053783242700000004, 'neutral']]",jumping,looking_away,cheer,barber-wells_golden.com,ferguson_hernandez.net,happy,0
2021-12-19 08:35:35,f5e1caa8-01e0-4c81-bc2a-8616bd4615df,christinecollins,1,53,female,6,"[[0.0706700975, 'sad'], [0.24014353900000002, 'fear'], [0.093853171, 'happy'], [0.1226000124, 'angry'], [0.34899239860000003, 'surprise'], [0.12374078150000001, 'neutral']]",talking,looking_away,cheer,thornton-brown_compton-becker.org,johnson_smith-potter.org,surprise,0
2021-12-19 08:35:40,f5e1caa8-01e0-4c81-bc2a-8616bd4615df,danieldavis,2,66,male,8,"[[0.0506525882, 'surprise'], [0.1150376847, 'sad'], [0.23569184110000002, 'angry'], [0.3299708485, 'neutral'], [0.2493792769, 'fear'], [0.0192677606, 'happy']]",walking,looking_away,LaughOutLoud,walters_smith-mitchell.com,williamson-bowman_larson.biz,neutral,0
2021-12-19 08:35:45,f5e1caa8-01e0-4c81-bc2a-8616bd4615df,margaretbecker,4,18,female,8,"[[0.12337985230000001, 'fear'], [0.0002349394, 'neutral'], [0.21105920020000002, 'surprise'], [0.6135569418, 'happy'], [0.0105137085, 'angry'], [0.0412553578, 'sad']]",sitting,looking_straight,scream,hoffman_castillo-carey.com,evans_rose.info,happy,1
2021-12-19 08:35:50,f5e1caa8-01e0-4c81-bc2a-8616bd4615df,daisy62,4,78,female,5,"[[0.0626259483, 'angry'], [0.1088173425, 'neutral'], [0.2078191412, 'fear'], [0.16605617520000002, 'surprise'], [0.44832611180000004, 'happy'], [0.0063552809, 'sad']]",walking,looking_straight,cheer,gardner-ross_avila-burke.com,roach_martin-schultz.com,happy,1
2021-12-19 08:35:55,f5e1caa8-01e0-4c81-bc2a-8616bd4615df,rogersdale,2,44,male,7,"[[0.0890224081, 'surprise'], [0.1349195832, 'angry'], [0.5374504194, 'happy'], [0.1595326173, 'fear'], [0.07633948260000001, 'sad'], [0.0027354893, 'neutral']]",sitting,looking_straight,LaughOutLoud,neal-rios_galvan.org,harris_grant.com,happy,1
2021-12-19 08:36:00,f5e1caa8-01e0-4c81-bc2a-8616bd4615df,frederickholmes,3,71,male,10,"[[0.1838483179, 'angry'], [0.0053723834, 'neutral'], [0.10523592720000001, 'surprise'], [0.0836207013, 'sad'], [0.24683385940000002, 'fear'], [0.3750888108, 'happy']]",jumping,looking_straight,scream,moore_williams.org,torres-torres_smith-bridges.com,happy,1
2021-12-19 08:36:05,f5e1caa8-01e0-4c81-bc2a-8616bd4615df,jasoncox,3,57,male,5,"[[0.049394855200000004, 'sad'], [0.0446943878, 'neutral'], [0.07604677800000001, 'angry'], [0.26892994130000003, 'happy'], [0.0594486263, 'surprise'], [0.5014854114, 'fear']]",talking,looking_away,LaughOutLoud,thompson_ryan-brooks.com,chavez_valenzuela.com,fear,0
